TAXON,RdRP_super_group,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,Taxon_set
Phytoreovirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Phytoreovirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Phytoreovirus|
Reoviridae,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,,,,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales|||||
Rotavirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Rotavirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Rotavirus|
Seadornavirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Seadornavirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Seadornavirus|
Nodaviridae,Tombus-Noda,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
Nodaviridae,Tombus-Noda,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,Alphanodavirus,,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae||Alphanodavirus|
Nodaviridae,Tombus-Noda,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,Betanodavirus,,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae||Betanodavirus|
Sinhaliviridae,Tombus-Noda,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Sinhaliviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Sinhaliviridae|||
Tombusviridae,Tombus-Noda,Riboviria,Orthornavirae,Kitrinoviricota,,Tolucaviricetes,Tolivirales,,Tombusviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Tolucaviricetes|Tolivirales||Tombusviridae|||
Tombusviridae_Calvusvirinae,Tombus-Noda,Riboviria,Orthornavirae,Kitrinoviricota,,Tolucaviricetes,Tolivirales,,Tombusviridae,Calvusvirinae,,,Riboviria|Orthornavirae|Kitrinoviricota||Tolucaviricetes|Tolivirales||Tombusviridae|Calvusvirinae||
Tombusviridae_Procedovirinae,Tombus-Noda,Riboviria,Orthornavirae,Kitrinoviricota,,Tolucaviricetes,Tolivirales,,Tombusviridae,Procedovirinae,,,Riboviria|Orthornavirae|Kitrinoviricota||Tolucaviricetes|Tolivirales||Tombusviridae|Procedovirinae||
Tombusviridae_Procedovirinae,Tombus-Noda,Riboviria,Orthornavirae,Kitrinoviricota,,Tolucaviricetes,Tolivirales,,Tombusviridae,Procedovirinae,,,Riboviria|Orthornavirae|Kitrinoviricota|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |Tolucaviricetes|Tolivirales||Tombusviridae|Procedovirinae||
Tombusviridae_Regressovirinae,Tombus-Noda,Riboviria,Orthornavirae,Kitrinoviricota,,Tolucaviricetes,Tolivirales,,Tombusviridae,Regressovirinae,,,Riboviria|Orthornavirae|Kitrinoviricota||Tolucaviricetes|Tolivirales||Tombusviridae|Regressovirinae||
Chrysoviridae,Toti-Chryso,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Chrysoviridae,,,,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Chrysoviridae|||
Quadriviridae,Toti-Chryso,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Quadriviridae,,,,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Quadriviridae|||
Totiviridae,Toti-Chryso,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Totiviridae,,,,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Totiviridae|||
Totiviridae_Leishmaniavirus,Toti-Chryso,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Totiviridae,,Leishmaniavirus,,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Totiviridae||Leishmaniavirus|
Totiviridae_Totivirus,Toti-Chryso,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Totiviridae,,Totivirus,,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Totiviridae||Totivirus|
Totiviridae_Trichomonasvirus,Toti-Chryso,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Totiviridae,,Trichomonasvirus,,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Totiviridae||Trichomonasvirus|
Totiviridae_Victorivirus,Toti-Chryso,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Totiviridae,,Victorivirus,,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Totiviridae||Victorivirus|
Weivirus,Weivirus,Riboviria,Orthornavirae,,,,,,,,,,Riboviria|Orthornavirae|||||||||
Yanvirus,Yanvirus,Riboviria,Orthornavirae,,,,,,,,,,Riboviria|Orthornavirae|||||||||
Yuevirus,Yuevirus,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Yunchangviricetes,Goujianvirales,,Yueviridae,,Yuyuevirus,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Yunchangviricetes|Goujianvirales||Yueviridae||Yuyuevirus|
Zhaovirus,Zhaovirus,Riboviria,Orthornavirae,,,,,,,,,,Riboviria|Orthornavirae|||||||||
