TAXON,RdRP_super_group,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,Taxon_set
Tymoviridae,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Tymoviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Tymoviridae|||
Virgaviridae,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Virgaviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Virgaviridae|||
Hypoviridae,Hypo,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Hypoviridae|||
Solemoviridae_Sobemovirus,Luteo-Sobemo,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Sobemovirus|
Solemoviridae_Polerovirus,Luteo-Sobemo,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Polerovirus|
Solemoviridae_Enamovirus,Luteo-Sobemo,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Enamovirus,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Enamovirus|
Alvernaviridae,Luteo-Sobemo,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Alvernaviridae,,Dinornavirus,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Alvernaviridae||Dinornavirus|
Luteo-Sobemo,Luteo-Sobemo,Riboviria,Orthornavirae,,,,,,,,,,Riboviria|Orthornavirae|||||||||
Solemoviridae,Luteo-Sobemo,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae|||
Alvernaviridae,Luteo-Sobemo,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Alvernaviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Alvernaviridae|||
na-daxi-like,na-daxi,Riboviria,Orthornavirae,,,,,,,,,,Riboviria|Orthornavirae|||||||||
