Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
YP_009755832.1_Rodent_coronavirus_7128,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Betacoronavirus,Myodes coronavirus 2JL14,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Middle East respiratory syndrome-related coronavirus
NC_016992_Sparrow_coronavirus_HKU17,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Deltacoronavirus,Sparrow coronavirus HKU17,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Alphacoronavirus|Human coronavirus 229E
NC_016995_Wigeon_coronavirus_HKU20,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Deltacoronavirus,Wigeon coronavirus HKU20,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|
NC_001451_Avian_infectious_bronchitis_virus,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Gammacoronavirus,Avian coronavirus 9203,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Myodes coronavirus 2JL14
NC_010646_Beluga_Whale_coronavirus_SW1,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Gammacoronavirus,Beluga whale coronavirus SW1,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Alphacoronavirus|Sorex araneus coronavirus T14
YP_009755895.1_Canada_goose_coronavirus_6510,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Gammacoronavirus,Goose coronavirus CB17,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Alphacoronavirus|Pipistrellus kuhlii coronavirus 3398
NC_008516_White_bream_virus,Tobaniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Piscanivirinae,Bafinivirus,White bream virus,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Gammacoronavirus|Goose coronavirus CB17
XZSJSC65757_Xinzhou_toro-like_virus,Tobaniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Serpentovirinae,Infratovirus,Infratovirus 1,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Ronidovirineae|Roniviridae|Okanivirinae|Okavirus|Okavirus branchiae
NC_024709_Ball_python_nidovirus,Tobaniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Serpentovirinae,Pregotovirus,Ball python nidovirus 1,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Monidovirineae|Mononiviridae|Mononivirinae|Alphamononivirus|Planidovirus 1
YP_009755843.1_Bellinger_River_virus_7459,Tobaniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Serpentovirinae,Pregotovirus,Berisnavirus 1,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Mesnidovirineae|Mesoniviridae|Hexponivirinae|Alphamesonivirus|Alphamesonivirus 1
XZSJSC61041_Xinzhou_nematode_virus_6,Tobaniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Serpentovirinae,Sectovirus,Sectovirus 1,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Mesnidovirineae|Mesoniviridae|Hexponivirinae|Alphamesonivirus|Alphamesonivirus 9
QRC47039.1_Veiled_chameleon_serpentovirus_B_Chamaeleo_calyptratus_8927,Tobaniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Serpentovirinae,Vebetovirus,Vebetovirus paba,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Mesnidovirineae|Mesoniviridae|Hexponivirinae|Alphamesonivirus|Alphamesonivirus 8
NC_003092_Simian_hemorrhagic_fever_virus,Arteriviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,Simarterivirinae,Deltaarterivirus,Deltaarterivirus hemfev,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Mesnidovirineae|Mesoniviridae|Hexponivirinae|Alphamesonivirus|Alphamesonivirus 11
NC_026509_De_Brazzas_monkey_arterivirus,Arteriviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,Simarterivirinae,Iotaarterivirus,Iotaarterivirus debrazmo,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Arnidovirineae|Arteriviridae|Heroarterivirinae|Lambdaarterivirus|Lambdaarterivirus afriporav
NC_007447_Breda_virus,Tobaniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Torovirinae,Torovirus,Bovine torovirus,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Arnidovirineae|Arteriviridae|Equarterivirinae|Alphaarterivirus|Alphaarterivirus equid arteritis virus
NC_022787_Porcine_torovirus,Tobaniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Torovirinae,Torovirus,Porcine torovirus,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Ronidovirineae|Euroniviridae|Ceronivirinae|Paguronivirus|Paguronivirus 1
NC_001961_PRRSV,Arteriviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,Variarterivirinae,Betaarterivirus,Betaarterivirus suid 2,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Ronidovirineae|Euroniviridae|Ceronivirinae|Charybnivirus|Charybnivirus 1
NC_001639_Lactate_dehydrogenase-elevating_virus,Arteriviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,Variarterivirinae,Gammaarterivirus,Gammaarterivirus lacdeh,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Ronidovirineae|Euroniviridae|Ceronivirinae|Charybnivirus|Decronivirus 1
NC_025113_Southwest_baboon_virus_1,Arteriviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Arnidovirineae|Arteriviridae|||
Cartilaginous_NHYJS6157_Nanhai_ghost_shark_arterivirus_13162bp,Arteriviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Arnidovirineae|Arteriviridae|||
Reptile_LPSG2430_Guangdong_greater_green_snake_arterivirus_18410bp,Arteriviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Arnidovirineae|Arteriviridae|||
QYL35070.1_Lopma_virus_Lophuromys_machangui_3485,Arteriviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Arnidovirineae|Arteriviridae|||
Amphibia_GECV01031551_Microhyla_fissipes,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|||
Reptile_ZGLXR118981_Guangdong_chinese_water_skink_coronavirus_22445bp,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|||
BZL87871_Beihai_Nido-like_virus_1,Mesoniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Mesnidovirineae,Mesoniviridae,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Mesnidovirineae|Mesoniviridae|||
SCM49454_Wuhan_virus_1,Nido,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,,,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|||||
shrimp13441_Wenzhou_Nido-like_virus_1,Nido,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,,,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|||||
SSZZ3468_Hubei_tetragnatha_maxillosa_virus_7,Nido,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,,,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|||||
WHCCII13334_Wuhan_insect_virus_19,Nido,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,,,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|||||
YP_009553214.1_Aplysia_californica_virus_8376,Nido,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,,,,,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|||||
