Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
Reptile_ZGLXR62176_Guangdong_chinese_water_skink_astrovirus_6683bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
NC_002470_Turkey_astrovirus,Astroviridae_Avastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Avastrovirus,Avastrovirus 1,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Avastrovirus|Avastrovirus 1
NC_003790_Chicken_astrovirus,Astroviridae_Avastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Avastrovirus,Avastrovirus 2,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Avastrovirus|Avastrovirus 2
NC_005790_Turkey_astrovirus_2,Astroviridae_Avastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Avastrovirus,Avastrovirus 3,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Avastrovirus|Avastrovirus 3
NC_012437_Duck_astrovirus,Astroviridae_Avastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Avastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Avastrovirus|
NC_001943_Human_astrovirus,Astroviridae_Mamastrovirus,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 1,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|Mamastrovirus 1
NC_002469_Ovine_astrovirus,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 13,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|Mamastrovirus 13
NC_004579_Mink_astrovirus,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 10,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|Mamastrovirus 10
NC_011400_Astrovirus_MLB1,Astroviridae_Mamastrovirus,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 6,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|Mamastrovirus 6
NC_013060_Astrovirus_VA1,Astroviridae_Mamastrovirus,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 9,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|Mamastrovirus 9
NC_015935_Mouse_astrovirus,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_016155_Astrovirus_MLB2,Astroviridae_Mamastrovirus,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
