Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
insectZJ94627_Shuangao_insect_virus_10,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
mosZJ34483_Hubei_noda-like_virus_12,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
noda_NP_077730_Nodamura_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,Alphanodavirus,Nodamura virus,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae||Alphanodavirus|Nodamura virus
noda_NP_599247_Striped_Jack_nervous_necrosis_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,Betanodavirus,Striped jack nervous necrosis virus,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae||Betanodavirus|Striped jack nervous necrosis virus
noda_NP_620109_Pariacoto_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,Alphanodavirus,Pariacoto virus,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae||Alphanodavirus|Pariacoto virus
noda_NP_689439_Boolarra_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,Alphanodavirus,Boolarra virus,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae||Alphanodavirus|Boolarra virus
noda_NP_689444_Flock_house_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,Alphanodavirus,Flock House virus,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae||Alphanodavirus|Flock House virus
noda_NP_919036_Macrobrachium_rosenbergii_nodavirus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
noda_YP_003288756_Barfin_flounder_nervous_necrosis_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,Betanodavirus,Barfin flounder nervous necrosis virus,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae||Betanodavirus|Barfin flounder nervous necrosis virus
noda_YP_003288759_Tiger_puffer_nervous_necrosis_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,Betanodavirus,Tiger puffer nervous necrosis virus,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae||Betanodavirus|Tiger puffer nervous necrosis virus
noda_YP_004207810_Penaeus_vannamei_nodavirus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
noda_YP_004221742_Santeuil_nodavirus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
noda_YP_053043_Black_beetle_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,Alphanodavirus,Black beetle virus,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae||Alphanodavirus|Black beetle virus
